gets,0
16,True
16,True
16,False
16,False
16,False
16,False
16,True
16,True
16,False
16,False
16,True
16,True
16,False
16,False
16,True
16,True
16,False
16,False
16,True
16,True
16,True
16,False
16,False
16,True
16,False
16,False
16,True
16,True
16,False
16,False
16,True
16,False
16,True
16,False
16,False
16,True
16,False
16,True
16,True
16,False
16,False
16,True
16,True
16,True
16,True
16,True
16,True
16,True
16,True
16,True
16,False
16,True
16,True
16,True
16,True
16,True
16,True
16,False
16,True
16,True
16,True
16,True
16,True
16,True
16,False
16,True
16,True
16,True
16,True
16,False
16,False
16,True
16,True
16,True
17,True
17,False
17,True
17,False
17,True
17,True
17,False
17,False
17,False
17,True
17,True
17,True
17,True
17,False
17,True
17,True
17,False
17,True
17,True
17,False
17,True
17,True
17,False
17,True
17,True
17,True
17,True
17,False
17,True
17,False
17,True
17,True
17,False
17,False
17,True
17,False
17,False
17,False
17,True
17,False
17,False
17,True
17,False
17,True
17,True
17,False
17,True
17,True
17,True
17,True
17,True
17,False
17,False
17,False
17,False
17,True
17,True
17,True
17,True
17,True
17,True
17,True
17,True
17,True
17,True
17,True
17,True
17,False
17,False
17,False
17,True
17,True
17,True
17,False
17,False
17,True
17,True
17,False
17,True
17,True
17,False
17,False
17,False
17,True
17,True
17,True
17,False
17,True
17,True
17,False
17,True
17,True
17,True
17,False
17,True
17,False
17,False
18,False
18,True
18,False
18,True
18,True
18,False
18,False
18,True
18,False
18,False
18,False
18,True
18,True
18,False
18,True
18,True
18,False
18,False
18,False
18,True
18,True
18,True
18,False
18,True
18,True
18,False
18,True
18,False
18,False
18,False
18,True
18,True
18,True
18,True
18,True
18,True
18,False
18,False
18,False
18,False
18,True
18,True
18,True
18,True
18,True
18,False
18,False
18,True
18,False
18,False
18,False
18,True
18,True
18,True
18,False
18,False
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,False
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,False
18,True
