,address,std
40,4c:32:75:c6:d3:a4,2.1628170930011135
71,98BD1E1D-667F-6465-F2C0-AD62408ADEE8,2.081665999466131
35,40234201-0248-FAD4-2893-17374C36AD8B,1.9364916731037083
119,b0:26:80:d1:d8:a0,1.9224550276491097
4,00:90:fe:f7:da:b6,1.8885620632287057
131,c0:25:a2:a9:b1:4f,1.8495106528950902
6,04BAB474-320A-44CF-2E48-F6A57219ED08,1.8411952639522025
144,e8:4f:25:d3:9b:75,1.7804355475321927
128,c0:25:a2:a7:2e:2b,1.7019258867935254
55,7D1D648C-8CED-928B-3483-B164419E75B2,1.6675211484796175
140,c6:06:c3:c0:b9:d2,1.6193277068654823
17,249C181E-96E7-D024-AD18-CEC7BE3C93E9,1.6007810593582117
14,1667049A-7372-C30D-89B2-B1ECA12DB046,1.5589096927658863
73,9A5F8A1B-3BD7-0A1B-99CE-D4B805F0FA27,1.5297809925141148
113,ac:44:f2:8c:e8:a8,1.5256428831468234
132,c4:36:c0:e3:cc:30,1.5194813356575856
79,A24CC2A3-FC82-437A-DA70-A30AFA2E6483,1.4864467059144137
28,2FD35A34-4C5E-50DD-0EC1-636D6F5D6545,1.4719601443879744
12,11568810-14EB-73E2-57A7-8E4F671044D2,1.4512594000225634
3,00:90:fe:f7:da:b4,1.3557637102737474
80,A87224AC-4440-6421-23F3-8D88EE4F2949,1.3008872711759814
88,B7D877B4-8EBF-A152-4CB3-42721417111E,1.2909944487358074
59,80:ea:96:f2:cc:77,1.2298957997167606
126,c0:06:c3:c0:b9:d3,1.2129568697262472
112,ac:44:f2:8c:b0:e0,1.1325893433586853
124,b0:c7:45:c9:0d:d5,1.1290317283753204
46,60:84:bd:de:7c:67,1.1244411127720118
62,84:af:ec:a7:f2:b4,1.124441112772005
15,16:27:f5:e3:50:96,1.095445115010335
114,ac:44:f2:8c:e9:20,0.944433175501849
24,28:ac:9e:3e:b9:ae,0.8976341829703127
123,b0:c7:45:c9:0d:d0,0.8660254037844368
25,28:ac:9e:3e:b9:af,0.8276819867946668
43,5D513F40-4026-8A54-9A29-53EF657C550A,0.816496580927726
121,b0:26:80:d1:d8:ae,0.7849152527648997
122,b0:26:80:d1:d8:af,0.7648904962570565
117,b0:26:80:d1:cf:0e,0.7396799556440675
135,c4:36:c0:e3:cc:38,0.7396799556440667
118,b0:26:80:d1:cf:0f,0.7183954022841383
101,DCB25614-9ADE-B1F7-5069-BE3843A94AC7,0.7071067811865476
10,10:27:f5:e3:50:97,0.6989318615762462
61,84:af:ec:86:f0:70,0.6782329983125268
136,c4:36:c0:e3:cc:3e,0.6617635789938608
137,c4:36:c0:e3:cc:3f,0.5920934999167573
31,3926EA01-ED4F-1DDF-D9CE-1175F3DC3DD0,0.5773502691896257
1,00:24:a5:7b:aa:30,0.5477225575051649
134,c4:36:c0:e3:cc:37,0.5175491695067649
76,9e:ad:97:b9:a0:be,0.4999999999999991
20,28:ac:9e:3e:b1:8e,0.4830458915396458
21,28:ac:9e:3e:b1:8f,0.4803844614152556
130,c0:25:a2:a8:01:23,0.42163702135578285
139,c4:3c:ea:3f:44:2a,0.3535533905932746
142,d0:4f:58:52:f8:70,0.0
143,d0:4f:58:52:f8:71,0.0
0,00:1d:73:f8:87:60,0.0
138,c4:3c:ea:3f:44:23,0.0
133,c4:36:c0:e3:cc:36,0.0
120,b0:26:80:d1:d8:a1,0.0
34,3c:7c:3f:3e:71:44,0.0
19,28:ac:9e:3e:b1:80,0.0
9,10:27:f5:e3:50:96,0.0
2,00:24:a5:7b:b2:80,0.0
146,e8:4f:25:d6:2e:b9,0.0
