address,count
402B799D-D0B5-1828-8A38-5A7872AC004C,10
28:ac:9e:3e:b1:8e,10
c6:06:c3:c0:b9:d2,10
4c:32:75:c6:d3:a4,10
014E3480-8DCF-32C5-FB83-0FE3F9E647A1,10
E93AB3DA-6277-0FCF-F172-4C8891BDB8EA,10
7390391D-AA27-8830-875B-FDA1FE16BA66,10
8D85DC3F-F1EF-4CFB-E847-EC1D4E0EE582,9
c0:25:a2:a8:01:22,9
40234201-0248-FAD4-2893-17374C36AD8B,9
31F5A215-5EAD-CBC2-8330-E7B8F193D9E5,9
ACE72ECA-09A9-EAC6-1AF2-2E76BF660E4E,9
9e:ad:97:b9:a0:be,9
AF3BF79E-D90C-914D-A5A2-59CA303B2846,8
c4:3c:ea:3f:44:2a,8
c4:36:c0:e3:cc:37,8
D5AA8D74-3DBE-82D4-19CE-34AA4530CF30,7
8FA76E7C-0AA3-26FE-21C4-58CDEED4E8E9,7
3c:7c:3f:3e:71:44,7
934E5015-1188-46DC-D656-19F40EBAA913,6
00:24:a5:7b:aa:30,6
3A292ADA-B6CF-253F-2188-1D00821B2821,6
2FD35A34-4C5E-50DD-0EC1-636D6F5D6545,6
77E25248-68BD-55D5-353C-70A9B5BC4147,6
e8:4f:25:d6:2e:b9,6
10:27:f5:e3:50:96,6
32F31CC5-70F7-2C9C-C688-6996A985B386,6
FA3E01C8-BFD2-EEB6-4B65-3FE180426693,6
470BCD0E-4128-C60A-A81D-998F97C53329,5
DCB25614-9ADE-B1F7-5069-BE3843A94AC7,5
E6E3BBB0-08C4-E3BD-BB12-3A33DB89A060,5
28:ac:9e:3e:b1:80,5
5D513F40-4026-8A54-9A29-53EF657C550A,4
B7D877B4-8EBF-A152-4CB3-42721417111E,4
A8B90212-933E-55E6-900F-3061F77A9AA2,4
C43A9D69-523A-95DA-C4D0-C87F69B323E1,4
3926EA01-ED4F-1DDF-D9CE-1175F3DC3DD0,4
C273A7C0-D2CF-7033-9066-63DE621A6AF6,4
80280365-B20E-1CFF-B716-1AF288304351,4
D7CE3214-813E-2313-E821-80A6ECE54CA1,4
00:24:a5:7b:b2:80,3
c4:3c:ea:3f:44:23,3
4595A0A1-833D-74BD-EB56-11903B509213,3
d0:4f:58:52:f8:70,3
b0:26:80:d1:d8:a1,3
9DC43723-8F13-4ABC-C756-AFD6762A9883,3
98BD1E1D-667F-6465-F2C0-AD62408ADEE8,3
8A60BD70-3625-C7FC-E1BD-921F21A9665A,3
BB056977-A587-1AFB-A755-C463C98593B4,3
EC8DCE43-DC6A-E4ED-F9BC-72AFA2076DEE,3
c4:36:c0:e3:cc:36,3
00:1d:73:f8:87:60,3
d0:4f:58:52:f8:71,3
689CA3C7-F6AD-F0E3-FB12-028F237A817D,2
56FD416A-9251-4EA0-5301-2771D60880D3,2
4E19335A-5B9F-91CA-BF69-7D42F102E4B6,2
19EAFB13-EA93-23E9-E6C0-655693DBECAA,2
342E00F8-E4F1-632A-4734-AEED3A13A0A0,2
C7D801D0-6CB0-8BAC-5F66-74F8A1132E8D,2
A2FC8BDA-C457-A078-701D-0099353B74F3,2
3E7BD904-8603-77EF-8151-D4DE5FD6E78A,1
9625F34D-6128-F218-5EEE-01DD660E18F4,1
83AB0194-3262-9E1D-6868-780B68180A1F,1
ADDBD14C-381C-F9A0-BF37-82436789C84D,1
C201933F-D4D5-F4DC-D8A7-664D8E19A206,1
E58AC1CA-2F20-FDE0-4A7E-F62D63B12574,1
147905E6-DBA6-4729-80D1-0954BF3C2835,1
55A8B95C-73EA-2CF7-EF97-C5021547DBC3,1
E2854E25-9E68-F5CF-6731-32DB738120E5,1
37F37E93-8C04-5804-5DFD-54A6AA9A6F80,1
3FF4BAB7-D7C9-0747-7E92-8D1866BA1F42,1
0F4C2266-F258-AE69-BED7-541A8EA5EA24,1
8F5A1854-105C-1C14-654A-C41A11D30A12,1
FECC9580-0160-68F0-903C-B4B165AAB9CC,1
81B676A5-3FC1-6849-5959-416BD24DC854,1
88FB6197-8818-1B42-7D06-78F5B783097B,1
F21D8594-4FF2-A6F4-A7CA-32C757E60BB2,1
